fnd_PConc,neigh_NridgHt,mas_vnr_type_Stone,neigh_NoRidge,extsecond_VinylSd,extfirst_VinylSd,ctrl_air_Y,zoning_RL,roof_style_Hip,gar_type_BuiltIn,neigh_StoneBr,roof_style_Gable,gar_type_None,zoning_RM,fnd_CBlock,gar_type_Detchd,mas_vnr_type_None,age_of_prop,SalePrice,OverallQual,GrLivArea,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,FullBath,GarageFinish,TotRmsAbvGrd,FireplaceQu,YearRemodAdd,HeatingQC,BsmtFinSF1,BsmtExposure,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,BsmtFinType1,HalfBath,GarageQual,LotArea,GarageCond,Electrical,PavedDrive,BsmtFullBath,BsmtUnfSF,BsmtCond
0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,89,147000,5,1344,2,468,672,672,3,1,1,6,0,1997,3,456,1,59.0,0,672,128,3,0,3,10690,2,3,2,0,216,2
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,46,159000,6,1394,2,514,1394,1394,4,1,2,6,4,1963,3,609,1,76.46236559139786,0,0,76,4,1,3,9500,3,4,2,1,785,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,46,165000,6,1431,2,296,1099,1431,4,1,2,6,4,1962,3,371,4,101.0,64,0,110,6,0,3,9150,3,4,2,0,728,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,56,132000,5,1268,2,244,1268,1268,3,1,3,7,4,1954,3,540,1,78.0,0,0,98,2,0,3,7800,3,4,2,0,728,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,51,162000,5,1287,2,576,1063,1287,3,1,3,7,4,2006,4,72,1,76.46236559139786,364,0,17,5,0,3,9830,3,4,2,1,733,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,6,172400,6,1664,2,460,953,953,4,2,2,7,3,2000,4,0,1,79.87755102040815,100,711,40,1,1,3,8121,3,4,2,0,953,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,49,134432,4,1588,2,680,0,1120,0,2,3,7,4,1959,2,0,0,80.0,0,468,59,0,0,3,17120,3,4,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,26,125000,6,752,2,264,744,752,4,1,1,4,0,1984,2,623,1,50.0,353,0,0,5,0,3,7175,3,4,2,1,0,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,56,123000,5,1319,2,270,608,1319,3,1,1,5,0,1953,2,428,1,79.0,66,0,0,4,0,3,10634,3,4,2,1,0,3
1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,4,219500,7,1928,3,434,847,847,4,2,3,8,4,2004,4,0,1,65.0,100,1081,48,1,1,3,8200,3,4,2,0,847,3
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,87,61000,1,904,1,0,683,904,2,0,0,4,0,1950,3,350,4,68.21739130434783,0,0,0,4,1,0,10020,0,3,2,1,333,1
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,10,148000,5,914,3,576,870,914,4,1,1,5,0,1996,4,298,3,57.0,0,0,0,6,0,3,8846,3,4,2,0,572,3
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,340000,8,2466,3,610,1580,1580,4,3,2,8,4,2005,4,0,1,102.0,159,886,214,1,0,3,11143,3,4,2,0,1580,3
1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,394432,9,1856,3,834,1856,1856,5,1,3,8,5,2010,4,1445,3,88.0,113,0,0,6,1,3,11394,3,4,2,1,411,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,9,179000,6,1800,2,463,982,1007,4,2,3,7,3,2000,4,0,1,60.0,100,793,63,1,1,3,8123,3,4,2,0,982,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,86,127000,5,1691,2,308,1026,1026,3,2,1,6,4,1950,2,218,1,50.0,0,665,0,2,0,3,5000,3,4,2,0,808,3
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,187750,7,1301,3,572,1293,1301,4,2,2,5,4,2006,4,0,1,60.0,216,0,121,1,0,3,7200,3,4,2,1,1293,4
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,213500,7,1797,3,639,939,939,4,2,2,8,0,2006,4,0,3,79.0,144,858,53,1,1,3,9245,3,4,2,0,939,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,81,76000,6,784,2,360,784,784,2,1,1,5,0,1950,2,0,1,60.0,0,0,0,1,0,2,9000,2,3,0,0,784,2
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,15,240000,6,1953,3,501,1580,1079,4,2,3,9,2,1992,4,985,3,83.46153846153847,216,874,231,6,1,3,53107,3,4,2,1,595,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,6,192000,8,1269,3,430,1256,1269,4,2,3,6,3,2005,4,24,1,43.0,146,0,20,6,0,3,3182,3,4,2,0,1232,3
1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,96,81000,5,1184,2,0,658,658,3,1,0,8,0,1996,2,0,1,58.0,0,526,151,1,0,0,8410,0,4,0,0,658,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,33,125000,6,1125,2,352,1041,1125,3,1,1,6,2,1976,4,631,3,72.0,296,0,0,5,0,3,7200,3,4,2,1,410,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,9,191000,7,1479,3,577,1468,1479,4,2,2,6,0,2000,4,0,1,93.0,120,0,25,1,0,3,9382,3,4,2,0,1468,3
1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,426000,10,2332,4,846,1682,1742,5,2,3,9,5,2008,4,1280,3,96.0,196,590,134,6,1,3,12474,3,4,2,1,402,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,108,119000,5,1367,2,384,861,961,3,1,1,7,0,1950,4,241,1,50.0,0,406,130,3,0,3,8405,3,4,2,1,229,4
1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,8,215000,6,1961,2,560,804,804,5,2,3,7,3,2002,4,690,1,71.0,125,1157,192,5,1,3,12209,3,4,2,1,114,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,48,106500,5,882,2,294,0,882,0,1,2,5,0,1959,2,0,0,76.46236559139786,0,0,0,0,0,3,8339,3,4,2,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,65,100000,4,788,2,0,788,788,3,1,0,4,3,1950,2,266,1,57.50980392156863,0,0,0,3,0,0,7446,0,3,2,0,522,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,67,109000,5,1034,2,240,735,735,3,1,1,5,0,1950,3,0,1,60.0,0,299,39,1,0,3,10134,3,3,2,0,735,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,54,129000,5,1144,2,596,1144,1144,3,1,1,6,0,1956,2,739,3,68.0,44,0,0,4,0,3,9571,3,4,2,1,405,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,37,123000,5,894,2,600,894,894,3,1,2,6,0,1972,2,777,3,60.0,215,0,0,3,0,3,7200,3,4,2,0,117,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,45,169500,5,1812,2,264,864,876,3,2,2,8,3,1962,2,540,1,69.0,0,936,168,5,0,3,7590,3,4,2,0,324,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,87,67000,5,1077,2,338,961,1077,2,1,1,6,0,1950,3,0,1,60.0,0,0,0,1,0,1,8967,1,0,0,0,961,1
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,241000,7,1550,3,438,1092,1112,4,2,3,7,0,2007,4,812,1,65.0,0,438,168,6,0,3,8125,3,4,2,1,280,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,12,245500,8,1288,3,500,1260,1288,4,1,3,4,4,1996,4,786,1,38.0,120,0,30,6,1,3,14963,3,4,2,1,474,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,164990,7,1310,3,400,1310,1310,4,2,3,6,4,2005,4,24,3,65.0,0,0,0,6,0,3,8767,3,4,2,0,1286,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,68,108000,5,672,2,240,672,672,3,1,1,4,0,1997,4,0,1,60.0,168,0,0,1,0,3,10200,3,4,0,0,672,3
1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8,258000,8,2263,3,420,1141,1165,4,2,3,10,3,1998,3,0,1,93.0,144,1098,123,1,1,3,12090,3,4,2,0,1141,3
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,12,168000,6,1572,2,373,806,806,4,2,3,7,3,1996,3,0,1,79.87755102040815,0,766,40,1,1,3,10364,3,4,2,0,806,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,33,150000,4,1620,2,490,1281,1620,3,2,1,8,3,1993,4,1116,1,74.4375,120,0,78,4,0,3,9991,3,4,2,1,165,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,72,115000,6,1639,2,240,1064,1166,3,1,1,6,0,1950,4,0,1,51.0,0,0,0,1,0,3,10480,3,3,2,0,1064,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,93,177000,6,1680,2,308,840,840,4,2,1,8,0,1976,4,0,1,63.0,0,840,0,1,0,3,15576,3,4,2,0,840,3
1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,280000,7,2172,3,947,1063,1071,5,2,2,9,4,2006,4,0,1,109.0,192,1101,62,1,1,3,14154,3,4,2,0,1063,4
1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,339750,8,2078,3,836,1034,1050,5,2,3,8,4,2008,4,789,1,85.0,0,1028,102,6,1,3,10800,3,4,2,1,245,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,51,60000,5,1276,2,350,1276,1276,3,1,1,5,0,1958,2,0,1,68.0,0,0,0,1,0,3,9571,3,3,2,0,1276,2
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,51,145000,5,1056,2,572,1056,1056,3,1,3,5,0,1955,2,1056,2,100.0,264,0,0,3,0,3,34650,3,4,2,1,0,3
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,222000,7,1478,4,484,1470,1478,5,2,3,7,4,2009,4,578,3,64.66666666666667,0,0,144,6,1,3,4403,3,4,2,1,892,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,83,115000,5,1028,2,360,1008,1028,3,1,1,5,4,1950,3,0,1,56.0,0,0,0,1,0,3,8960,3,3,2,0,1008,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,15,228000,7,2097,3,678,1080,1080,4,2,1,9,3,1993,4,50,1,59.0,196,1017,187,4,1,3,11228,3,4,2,0,499,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,181134,7,1340,3,396,1340,1340,4,2,3,6,0,2007,4,24,3,73.0,100,0,30,6,0,3,8899,3,4,2,0,1316,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,28,149500,6,1400,2,440,672,672,3,1,3,6,3,1978,2,209,1,74.0,0,728,0,5,1,3,7844,3,4,2,0,463,3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,89,239000,6,2624,2,864,1370,1370,4,2,1,10,4,1950,2,1128,1,86.0,0,1254,0,4,1,3,22420,3,3,0,1,242,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,67,126000,5,1134,2,240,756,756,3,1,1,7,0,1950,1,312,1,60.0,0,378,0,5,1,3,8160,3,2,1,1,444,3
0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,42,142000,5,1056,2,304,1056,1056,3,1,1,6,2,1968,4,775,1,65.0,0,0,85,4,0,3,8450,3,4,2,1,281,3
1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,11,206300,7,1344,2,784,1344,1344,4,2,3,8,0,1998,4,1309,4,78.0,0,0,0,6,0,3,7060,3,4,2,2,35,4
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,32,215000,6,1602,3,529,1602,1602,4,2,3,8,3,2000,3,1246,1,81.28888888888889,240,0,0,5,0,3,16635,3,4,2,0,356,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,54,113000,5,988,2,520,988,988,3,1,2,4,0,1954,4,0,1,100.0,0,0,0,1,0,3,21750,3,3,0,0,988,3
1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,10,315000,8,2630,3,696,1470,1470,4,2,3,8,3,1998,3,986,1,80.0,0,1160,66,6,1,3,9200,3,4,2,1,484,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,52,139000,6,1196,2,297,1196,1196,4,1,2,6,4,1956,3,616,1,72.0,0,0,44,2,0,3,9000,3,3,2,1,580,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,63,135000,7,1389,2,240,651,707,3,1,1,6,4,1992,3,0,1,60.0,0,682,0,1,1,3,3378,3,4,1,0,651,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,20,275000,7,1644,3,569,1518,1644,4,2,3,5,3,1989,3,1518,4,71.5,80,0,0,6,0,3,12800,3,4,2,1,0,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,51,109008,4,907,2,352,907,907,3,1,1,5,0,1957,4,288,1,77.0,0,0,0,3,0,3,8593,3,4,2,0,619,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,195400,7,1208,3,628,1208,1208,4,2,2,6,0,2007,4,664,1,64.0,105,0,54,6,0,3,6762,3,4,2,1,544,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,21,175000,6,1412,2,576,1392,1412,4,2,1,6,3,1988,2,1005,2,130.0,0,0,0,6,0,3,11457,3,4,2,1,387,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,37,85400,6,987,2,264,483,483,3,1,1,4,0,1971,2,387,1,21.0,0,504,0,5,1,3,1680,3,4,2,0,96,3
0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,88,79900,6,1198,2,0,901,1088,3,1,0,7,0,1998,3,0,1,60.0,0,110,98,1,0,0,5586,0,4,0,0,901,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,36,122500,5,1365,2,440,765,765,3,1,1,6,0,1971,4,471,1,24.0,240,600,36,5,1,3,1920,3,4,2,1,294,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,11,181000,6,1604,2,470,926,926,4,2,3,7,3,1998,4,0,1,100.0,0,678,36,1,1,3,10839,3,4,2,0,926,3
0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,36,81000,4,630,2,0,630,630,4,1,0,3,0,1972,3,495,3,21.0,88,0,0,5,0,0,1890,0,4,2,1,135,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,13,212000,7,1661,3,550,799,827,4,2,2,6,3,1996,4,385,3,43.0,158,834,61,6,1,3,10667,3,4,2,1,70,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,86,116000,6,1118,2,440,648,734,2,1,1,6,0,1950,2,0,1,40.0,0,384,0,1,0,3,4400,3,3,2,0,648,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,83,119000,6,904,3,180,884,904,3,1,1,4,0,2004,3,0,1,50.0,0,0,0,1,0,3,6000,3,4,2,0,884,3
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,94,90350,5,694,2,352,440,694,3,1,1,4,4,2002,2,365,1,40.0,0,0,0,2,0,4,4280,3,4,1,0,75,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,89,110000,6,1196,2,528,684,684,3,1,1,7,0,2000,3,0,2,67.0,0,512,46,1,0,3,12354,3,4,2,0,684,2
1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,555000,10,2402,4,672,3094,2402,5,2,3,10,4,2008,4,1767,4,105.0,0,0,72,6,0,3,15431,3,4,2,1,788,3
0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,53,118000,4,1440,2,0,1440,1440,3,2,0,8,0,1955,2,133,1,92.0,0,0,0,5,0,0,12108,0,2,2,0,1307,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,78,162900,5,1573,2,360,1078,1128,3,2,1,8,4,1992,2,0,1,52.0,0,445,0,1,0,3,6240,3,4,1,0,1078,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,172500,7,1258,3,648,1258,1258,5,2,3,6,4,2007,4,0,3,53.0,144,0,16,1,0,3,3922,3,4,2,0,1258,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,14,210000,7,1908,3,493,915,933,4,2,1,8,3,1995,4,642,1,70.0,144,975,133,6,1,3,8750,3,4,2,1,273,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,53,127500,6,1689,2,480,1436,1689,3,1,1,7,4,1956,1,0,1,73.0,0,0,0,1,0,3,9855,3,4,2,0,1436,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,44,190000,6,1888,3,578,1517,1888,3,2,3,6,4,2002,4,247,1,137.0,0,0,0,5,1,3,16492,3,4,2,0,557,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,8,199900,7,1886,3,431,930,956,4,2,3,10,3,1999,3,0,1,79.87755102040815,89,930,0,1,1,3,11214,3,4,2,0,930,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,69,119500,6,1376,2,198,780,780,3,2,1,7,4,1950,2,0,1,50.0,0,596,0,1,0,3,8600,3,4,0,0,780,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,59,120000,3,1183,2,308,649,679,3,1,1,6,0,2002,4,331,1,50.0,0,504,176,5,1,3,6000,3,4,2,0,318,3
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,76,110000,6,813,2,270,813,813,3,1,1,5,0,2005,4,0,1,70.0,0,0,113,1,0,2,5684,2,3,0,0,813,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,31,280000,7,1533,2,576,1533,1533,4,2,1,5,3,1975,2,655,4,62.0,200,0,54,5,0,3,70761,3,4,2,1,878,3
1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,11,204000,6,1756,3,422,872,888,5,2,3,7,0,1997,4,742,1,80.13333333333334,144,868,122,5,1,3,9303,3,4,2,1,130,3
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,210000,8,1590,3,676,768,786,4,2,2,6,0,2008,4,0,1,75.0,0,804,30,1,1,3,9000,3,4,2,0,768,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,30,188000,5,1728,2,560,1728,1728,3,2,1,8,0,1976,2,1606,1,63.0,0,0,0,5,0,3,9297,3,4,2,2,122,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,34,175500,7,1242,2,528,1242,1242,3,1,1,6,3,1973,1,916,1,80.0,0,0,0,5,1,3,9600,3,4,2,0,326,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,92,98000,5,1344,2,513,624,624,3,1,1,7,0,1950,1,0,1,34.0,0,720,0,1,0,2,4571,2,4,2,0,624,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,54,256000,4,1663,2,529,1364,1663,4,1,3,6,4,1994,4,1116,4,83.46153846153847,224,0,137,4,0,3,53227,3,4,2,1,248,3
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,83,161000,8,1666,2,228,588,833,3,1,1,7,4,1996,1,0,1,62.788990825688074,192,833,63,1,0,3,5100,3,4,2,0,588,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,59,110000,5,1203,2,352,709,979,3,1,1,5,3,1950,2,185,1,57.50980392156863,0,224,0,2,0,3,7015,3,4,2,1,524,3
1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,263435,8,1935,3,552,832,832,4,2,3,8,0,2009,4,544,1,75.0,0,1103,150,6,1,3,8004,3,4,2,1,288,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,73,155000,7,1135,3,576,560,575,4,1,2,6,0,2007,4,350,1,60.0,256,560,0,5,0,3,7200,3,4,2,1,0,4
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,44,62383,5,864,2,360,864,864,3,1,1,5,1,1965,3,553,1,60.0,0,0,0,3,0,3,8281,3,4,2,0,0,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,74,188700,6,1660,2,240,715,849,3,1,1,6,4,1995,1,326,1,74.0,0,811,0,2,1,3,11988,3,3,2,0,389,3
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,31,124000,5,1040,2,0,1040,1040,4,2,0,5,0,1978,2,616,1,60.0,0,0,0,3,0,0,8430,0,4,2,0,424,3
1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2,178740,7,1414,3,398,1375,1414,4,2,3,6,3,2004,4,0,1,47.14285714285714,144,0,20,1,0,3,3072,3,4,2,0,1375,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,37,167000,7,1277,2,526,1277,1277,3,1,1,5,1,1970,2,778,4,85.0,0,0,0,6,0,3,10628,3,4,2,1,499,4
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,65,146500,5,1644,2,312,728,888,3,1,1,7,4,1995,4,386,1,79.0,168,756,0,2,1,3,9480,3,4,2,0,342,3
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,250000,8,1634,3,866,1626,1634,4,2,2,7,4,2006,4,0,1,98.0,0,0,44,1,0,3,11428,3,4,2,0,1626,3
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,15,187000,6,1710,3,506,832,832,4,2,2,7,0,1993,4,426,1,76.0,144,878,70,6,1,3,9291,3,4,2,0,406,3
1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,25,212000,8,1502,3,528,1488,1502,4,1,2,4,0,1985,2,368,3,62.7,0,0,54,6,1,3,6820,3,4,2,1,0,3
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,30,190000,7,1969,2,534,808,1161,4,2,2,8,4,1977,2,0,1,92.0,0,808,0,1,1,3,11952,3,4,2,0,808,3
1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,3,148000,6,1072,2,525,547,1072,4,1,2,5,0,2005,4,459,4,35.0,0,0,28,6,0,3,3675,3,4,2,1,88,3
1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,440000,8,1976,3,908,1976,1976,5,2,2,7,5,2007,4,1350,4,110.0,250,0,63,6,0,3,14977,3,4,2,1,626,3
1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,7,251000,8,1652,3,499,1494,1652,4,2,2,6,0,2000,4,1196,3,41.0,96,0,48,6,0,3,5330,3,4,2,1,298,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,44,132500,5,970,2,624,970,970,3,1,1,5,0,1963,2,630,1,80.0,0,0,24,6,0,3,8480,3,4,2,1,340,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,11,208900,6,1493,2,508,1478,1493,4,2,3,7,3,1998,4,994,4,75.0,140,0,39,6,0,3,13125,3,4,2,1,484,3
1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,380000,9,2643,4,694,2153,2069,4,2,3,9,4,2006,4,0,3,105.0,414,574,84,1,1,3,13693,3,4,2,0,2153,3
1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,297000,8,1718,3,826,1705,1718,5,2,2,7,4,2008,4,1288,4,79.0,208,0,44,6,0,3,10637,3,4,2,1,417,3
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,70,89471,4,1131,2,672,907,1131,2,1,1,7,0,2000,2,168,1,50.0,0,0,72,3,0,3,5925,3,4,2,0,739,3
1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,326000,9,1850,3,772,1833,1850,5,2,3,8,4,2005,4,1261,4,98.0,519,0,112,6,0,3,16033,3,4,2,1,572,3
1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3,374000,9,1792,3,874,1792,1792,5,2,3,6,4,2004,4,1567,4,72.0,206,0,49,6,0,3,11846,3,4,2,1,225,3
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,94,155000,7,1826,3,164,910,916,3,1,1,7,4,2005,4,299,1,50.0,0,910,0,5,1,2,2500,2,4,2,1,611,3
1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,8,164000,6,1216,2,402,1216,1216,5,2,1,5,0,1998,4,897,1,32.0,0,0,125,6,0,3,4500,3,4,2,1,319,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,45,132500,5,999,2,264,999,999,3,1,1,6,0,2001,3,588,1,74.4375,0,0,132,5,0,3,7758,3,4,2,1,411,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,59,147000,5,1113,3,264,1113,1113,3,1,1,5,4,2007,3,607,1,80.0,0,0,80,5,0,3,9600,3,4,2,0,506,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,42,156000,5,1073,2,515,1073,1073,3,1,2,6,0,1965,2,836,1,79.0,0,0,0,5,1,3,10289,3,4,2,1,237,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,36,175000,5,1484,2,487,1484,1484,4,2,1,7,3,1971,3,998,3,70.0,224,0,0,5,0,3,12243,3,4,2,0,486,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,106,160000,5,2414,2,520,954,1766,3,2,1,10,4,1970,2,664,1,60.0,142,648,0,4,0,3,10800,2,3,0,0,290,2
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,39,86000,4,630,2,286,630,630,4,1,1,3,0,2002,2,515,3,21.0,0,0,0,6,0,3,1526,3,4,2,1,115,3
1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,32,115000,5,1304,2,336,264,616,4,1,3,4,4,1976,2,0,2,27.8,141,688,24,1,1,3,2665,3,4,2,0,264,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,65,133000,6,1578,2,240,806,958,3,1,1,5,3,1950,2,403,1,79.0,0,620,0,4,0,3,9490,3,3,2,1,238,3
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,172785,6,1456,3,429,728,728,4,2,2,8,0,2006,3,0,1,105.0,0,728,0,1,1,3,15578,3,4,2,0,728,3
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,48,155000,5,1269,2,308,1269,1269,3,1,1,6,2,1960,2,374,1,70.0,0,0,0,4,1,3,7931,3,3,2,0,363,3
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,71,91300,5,886,2,273,190,886,2,1,1,4,0,1996,3,0,1,50.0,144,0,20,1,0,3,5784,3,3,2,0,190,3
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,89,34900,4,720,2,0,720,720,3,1,0,4,0,1950,2,495,1,60.0,0,0,523,3,0,0,7879,0,3,0,0,225,3
